target_prevalence,repeat,method,n,observed_prevalence,mean_predicted_risk,brier,log_loss,ece_10bin
0.005,17,unadjusted,3810,0.0049868766404199474,0.009101481588081982,0.005214097751624409,0.02857133707041755,0.004316105448736868
0.005,17,prior_adjusted,3810,0.0049868766404199474,0.004987892815456134,0.004491621318692906,0.027094145807055808,0.0027375590691827768
0.005,18,unadjusted,3810,0.0049868766404199474,0.008779113270011884,0.005715794050263174,0.03481359808961634,0.004152830280628595
0.005,18,prior_adjusted,3810,0.0049868766404199474,0.004788407442543557,0.004823009553464852,0.03354051408837783,0.0036758694113463424
0.005,19,unadjusted,3810,0.0049868766404199474,0.008913130200809504,0.005491044737400453,0.029818674117887956,0.003993364114663133
0.005,19,prior_adjusted,3810,0.0049868766404199474,0.004874007799114228,0.004703314094595932,0.028461625303585533,0.0031277219511969584
0.01,0,unadjusted,3829,0.009924262209454165,0.009082051692062536,0.010030898831444033,0.05782583777151061,0.0076153145693372394
0.01,0,prior_adjusted,3829,0.009924262209454165,0.008461897875945609,0.009918645372637529,0.05793394441567425,0.007482480040769923
0.01,1,unadjusted,3829,0.009924262209454165,0.009852095977520516,0.00919916240594793,0.052337528245250516,0.0069611640330941894
0.01,1,prior_adjusted,3829,0.009924262209454165,0.009225879590822769,0.00908673999308921,0.05237388083271854,0.006829594131517471
0.01,2,unadjusted,3829,0.009924262209454165,0.009873852000302592,0.009136013196896137,0.05210695706141196,0.005559446612248277
0.01,2,prior_adjusted,3829,0.009924262209454165,0.009243873648672659,0.009029685840272509,0.05214145215846349,0.005888961829437897
0.01,3,unadjusted,3829,0.009924262209454165,0.010057956722894428,0.008865762645384514,0.04833812229278358,0.004558773527499735
0.01,3,prior_adjusted,3829,0.009924262209454165,0.009420272734228831,0.008774681385755288,0.048355761393441075,0.004407028968474643
0.01,4,unadjusted,3829,0.009924262209454165,0.010595830710365723,0.008215401244256992,0.04669743206999484,0.004642062978566918
0.01,4,prior_adjusted,3829,0.009924262209454165,0.009947159655957093,0.008125441417533599,0.04666526294468703,0.004489786575058652
0.01,5,unadjusted,3829,0.009924262209454165,0.009922753266649325,0.009045241151018036,0.05042419899720024,0.00538859941051326
0.01,5,prior_adjusted,3829,0.009924262209454165,0.009289056122882005,0.008946828316567897,0.05045429666600058,0.0052420897739885505
0.01,6,unadjusted,3829,0.009924262209454165,0.010134779805815805,0.008869095018706821,0.05046638283414678,0.005723879965232434
0.01,6,prior_adjusted,3829,0.009924262209454165,0.009504043408054618,0.008759294622294835,0.050476502053041175,0.005580314344568369
0.01,7,unadjusted,3829,0.009924262209454165,0.009683843583355804,0.009377218063824824,0.051063871840678066,0.00578037882664462
0.01,7,prior_adjusted,3829,0.009924262209454165,0.0090589426463951,0.00927183193083628,0.051115908004616455,0.0061251034499679394
0.01,8,unadjusted,3829,0.009924262209454165,0.010565103747465762,0.008330366319937244,0.04555655865697622,0.004682085368169026
0.01,8,prior_adjusted,3829,0.009924262209454165,0.009924340952772137,0.008232988312102358,0.04552689432821006,0.005015072463772988
0.01,9,unadjusted,3829,0.009924262209454165,0.009344637450896805,0.009736554079590638,0.05505709289301213,0.006410818103014192
0.01,9,prior_adjusted,3829,0.009924262209454165,0.00872166709793415,0.009630434340644313,0.05514077035341539,0.006265482084629182
